"","ID","Site","Year","SnowPersistDOY","SnowOnsetDOY","SnowLengthDays","SnowOnsetDOY_calendar"
"1",1,"Mexican Cut","2006",164.110691022805,-88.5900625084263,252.700753531232,270.441806217418
"2",1,"Mexican Cut","2007",160.93621663987,-94.5581937825817,255.494410422452,277.419459113794
"3",1,"Mexican Cut","2008",191.573539322562,-87.5805408862056,279.154080208767,280.871965909651
"4",1,"Mexican Cut","2009",169.652205933798,-84.1280340903493,253.780240024148,283.069957512685
"5",1,"Mexican Cut","2010",171.427205142148,-81.9300424873148,253.357247629463,282.220296286716
"6",1,"Mexican Cut","2011",193.338543623203,-82.7797037132842,276.118247336487,273.899565203107
"7",1,"Mexican Cut","2012",153.330790373968,-91.1004347968928,244.431225170861,277.533569332647
"8",1,"Mexican Cut","2013",165.15367357001,-87.4664306673533,252.620104237363,268.89475032311
"9",1,"Mexican Cut","2014",176.198938001074,-96.1052496768897,272.304187677963,278.793818986107
"10",1,"Mexican Cut","2015",177.664345411685,-86.2061810138934,263.870526425578,296.030689463543
"11",1,"Mexican Cut","2016",175.81656413063,-68.9693105364573,244.785874667087,304.566834076647
"12",1,"Mexican Cut","2017",179.4938791445,-60.4331659233526,239.927045067853,280.73767582623
"13",1,"Mexican Cut","2018",157.100743502593,-84.2623241737697,241.363067676363,281.584950716584
"14",1,"Mexican Cut","2019",197.603663011368,-83.4150492834165,281.018712294785,276.890202220722
"15",1,"Mexican Cut","2020",164.349130876243,-88.1097977792775,252.458928655521,297.559547568303
"16",1,"Mexican Cut","2021",163.119405926707,-67.4404524316965,230.559858358403,273.415668721247
"17",1,"Mexican Cut","2022",162.81280587864,-91.584331278753,254.397137157393,NA
"18",2,"Elko","2006",156.305803295731,-76.3814841058434,232.687287401575,282.350817166999
"19",2,"Elko","2007",150.173929170083,-82.649182833001,232.823112003084,300.229672881643
"20",2,"Elko","2008",185.973052925766,-64.7703271183567,250.743380044122,296.614017435458
"21",2,"Elko","2009",159.959962992597,-68.3859825645423,228.345945557139,290.285178448626
"22",2,"Elko","2010",161.315106618574,-74.7148215513739,236.029928169948,293.213985481902
"23",2,"Elko","2011",187.652491688004,-71.7860145180981,259.438506206102,286.854798798516
"24",2,"Elko","2012",145.409647226292,-78.145201201484,223.554848427776,294.904221943748
"25",2,"Elko","2013",159.376465843439,-70.0957780562516,229.47224389969,282.186296794657
"26",2,"Elko","2014",172.081137444434,-82.8137032053431,254.894840649777,296.870417562463
"27",2,"Elko","2015",166.727289529959,-68.1295824375369,234.856871967496,302.26395130081
"28",2,"Elko","2016",169.137974465031,-62.7360486991901,231.874023164221,313.216028790697
"29",2,"Elko","2017",172.55039568206,-51.7839712093027,224.334366891363,294.376003026419
"30",2,"Elko","2018",150.141882110871,-70.6239969735809,220.765879084452,284.280922189158
"31",2,"Elko","2019",191.268772772601,-80.7190778108422,271.987850583443,282.457457294926
"32",2,"Elko","2020",159.721747753352,-82.5425427050738,242.264290458426,300.457524955198
"33",2,"Elko","2021",154.088300582114,-64.5424750448023,218.630775626916,286.090730529801
"34",2,"Elko","2022",154.489785216017,-78.9092694701994,233.399054686217,NA
"35",3,"Rustlers","2006",131.009269488422,-56.4175738913531,187.426843379775,294.855130879251
"36",3,"Rustlers","2007",119.407867775123,-70.1448691207494,189.552736895872,323.64923026275
"37",3,"Rustlers","2008",156.387203927887,-41.3507697372502,197.737973665137,309.900614718903
"38",3,"Rustlers","2009",129.028463207798,-55.0993852810972,184.127848488896,302.563435195649
"39",3,"Rustlers","2010",136.1460610974,-62.436564804351,198.582625901751,303.609162017295
"40",3,"Rustlers","2011",160.755957966022,-61.3908379827049,222.146795948727,302.790083482492
"41",3,"Rustlers","2012",118.855053759284,-62.2099165175084,181.064970276792,319.056435900041
"42",3,"Rustlers","2013",139.028930710915,-45.9435640999587,184.972494810874,307.160565399619
"43",3,"Rustlers","2014",148.056398507996,-57.8394346003813,205.895833108377,309.467254552298
"44",3,"Rustlers","2015",126.45714844062,-55.532745447702,181.989893888322,313.37655735034
"45",3,"Rustlers","2016",141.058653346711,-51.6234426496599,192.682095996371,317.201689642759
"46",3,"Rustlers","2017",146.722713130798,-47.7983103572414,194.521023488039,313.548648131582
"47",3,"Rustlers","2018",123.823743602518,-51.4513518684175,175.275095470935,294.919947302487
"48",3,"Rustlers","2019",161.614435907396,-70.0800526975132,231.694488604909,311.136627035644
"49",3,"Rustlers","2020",133.725726008741,-53.8633729643559,187.589098973097,312.8026150646
"50",3,"Rustlers","2021",133.593706305908,-52.1973849353998,185.791091241308,329.650863130751
"51",3,"Rustlers","2022",131.775418563655,-35.3491368692485,167.124555432904,NA
"52",4,"Copper","2006",134.976254563219,-61.240313991232,196.216568554451,290.056372935099
"53",4,"Copper","2007",124.836075249907,-74.9436270649005,199.779702314808,322.112577987093
"54",4,"Copper","2008",161.503050844325,-42.8874220129068,204.390472857232,306.943266917976
"55",4,"Copper","2009",131.854319833008,-58.0567330820241,189.911052915032,299.56195095203
"56",4,"Copper","2010",138.610280421587,-65.4380490479696,204.048329469556,301.734925641235
"57",4,"Copper","2011",164.655746581178,-63.2650743587653,227.920820939943,298.184629684593
"58",4,"Copper","2012",123.525842673631,-66.8153703154071,190.341212989038,316.98946727467
"59",4,"Copper","2013",141.604351399983,-48.0105327253304,189.614884125313,303.179677534913
"60",4,"Copper","2014",153.203341898119,-61.820322465087,215.023664363206,310.814578266669
"61",4,"Copper","2015",132.890985163389,-54.1854217333307,187.076406896719,310.272080857653
"62",4,"Copper","2016",147.380483708157,-54.7279191423469,202.108402850504,319.244345743724
"63",4,"Copper","2017",150.457968627915,-45.7556542562757,196.21362288419,303.895977909565
"64",4,"Copper","2018",128.595352067435,-61.1040220904348,189.69937415787,291.272490567504
"65",4,"Copper","2019",165.865295961514,-73.7275094324958,239.59280539401,305.15978910943
"66",4,"Copper","2020",137.435303363784,-59.8402108905697,197.275514254354,308.763778298749
"67",4,"Copper","2021",136.906126323094,-56.2362217012508,193.142348024345,322.650980059954
"68",4,"Copper","2022",135.031333716762,-42.349019940046,177.380353656808,NA
"69",5,"Hill","2006",130.277394399472,-56.8815406990816,187.158935098554,300.525997595467
"70",5,"Hill","2007",118.937263179256,-64.4740024045326,183.411265583789,326.46257954297
"71",5,"Hill","2008",157.439609583425,-38.53742045703,195.977030040455,314.514662406924
"72",5,"Hill","2009",127.70779046616,-50.4853375930756,178.193128059235,304.29215137968
"73",5,"Hill","2010",134.516400055703,-60.7078486203199,195.224248676023,307.413792374846
"74",5,"Hill","2011",161.214990008571,-57.5862076251536,218.801197633725,303.602659373382
"75",5,"Hill","2012",114.455347450552,-61.3973406266181,175.85268807717,326.871786486048
"76",5,"Hill","2013",137.184965635156,-38.1282135139525,175.313179149109,313.312413438955
"77",5,"Hill","2014",149.04471164101,-51.6875865610449,200.732298202054,314.628472092271
"78",5,"Hill","2015",121.278352612416,-50.3715279077291,171.649880520145,313.404943412404
"79",5,"Hill","2016",140.928729462687,-51.5950565875963,192.523786050283,319.795576403918
"80",5,"Hill","2017",145.939286798591,-45.2044235960824,191.143710394674,319.319265564169
"81",5,"Hill","2018",122.711704962619,-45.6807344358308,168.392439398449,296.050638270361
"82",5,"Hill","2019",161.757775271383,-68.949361729639,230.707137001022,316.765401908218
"83",5,"Hill","2020",133.122885992458,-48.2345980917819,181.35748408424,315.911591473036
"84",5,"Hill","2021",131.760095214405,-49.0884085269643,180.848503741369,333.413104436982
"85",5,"Hill","2022",130.104193714156,-31.5868955630183,161.691089277174,NA
"86",6,"Little","2006",133.638813465964,-59.702350931896,193.34116439786,292.184154774047
"87",6,"Little","2007",123.079868236432,-72.8158452259526,195.895713462385,324.099287674717
"88",6,"Little","2008",160.145822160833,-40.9007123252829,201.046534486116,309.142385315273
